ID NO,1-I,Retake,Term repeat,AcademicHours,ExtraCurricular Hours,Siblings,Family Income,Dropout
1,3.04,1,0,924,36,3,1300000,0
2,3.27,0,0,879,30,3,2300000,0
3,2.66,3,0,272,2,4,240000,1
4,2.97,4,0,170,7,3,140000,1
5,3.71,0,0,872,43,4,1900000,0
6,3.51,2,0,817,47,3,1000000,0
7,2.91,1,0,868,42,3,2000000,0
8,2.72,2,0,283,9,6,140000,1
9,2.49,2,0,289,3,4,240000,1
10,3.96,1,1,910,32,3,1100000,0
11,3.58,1,1,892,38,1,1000000,0
12,3.54,0,1,929,39,1,500000,0
13,3.24,0,1,903,23,0,1200000,0
14,3.06,0,0,963,35,2,1400000,0
15,3.77,0,0,819,29,3,1100000,0
16,3.1,5,0,893,37,1,1100000,0
17,3.5,0,0,918,49,2,1000000,0
18,3.17,2,0,837,33,1,2400000,0
19,3.37,3,0,922,21,1,2300000,0
20,3.36,0,0,810,48,3,1300000,0
21,2.74,1,0,151,9,4,180000,1
22,3.2,0,0,915,48,4,1500000,0
23,3.77,0,0,969,31,4,1600000,0
24,2.6,0,1,900,28,1,1500000,0
25,3.11,0,1,888,44,1,1000000,0
26,4,0,1,829,35,4,2500000,0
27,2.92,0,1,805,37,1,800000,0
28,2.83,0,0,952,41,4,2300000,0
29,3.11,0,0,960,22,3,500000,0
30,3.19,0,0,859,47,0,1100000,0
31,2.73,0,0,823,49,4,2000000,0
32,2.87,5,0,206,1,3,260000,1
33,3.45,0,0,875,22,3,1800000,0
34,2.95,0,0,966,46,2,800000,0
35,2.8,6,0,175,4,2,160000,1
36,2.52,0,0,969,48,1,2400000,0
37,2.41,7,0,231,3,2,40000,1
38,2.55,8,1,165,2,6,60000,1
39,3.36,0,1,933,20,0,1600000,0
40,2.45,0,1,155,7,5,260000,1
41,2.45,1,1,290,4,2,140000,1
42,2.05,0,0,296,10,6,240000,1
43,3.06,3,0,204,5,5,160000,1
44,3.85,4,0,992,36,1,1000000,0
45,3.46,0,0,247,8,5,180000,1
46,2.87,2,0,160,1,6,240000,1
47,3.45,1,0,989,40,1,1700000,0
48,2.95,2,0,822,31,3,1200000,0
49,2.8,2,0,522,21,2,180000,1
